original	replacement
ndi_app_markgarbage	ndi.app.markgarbage
ndi_app_oridirtuning	ndi.app.oridirtuning
ndi_app_spikeextractor	ndi.app.spikeextractor
ndi_app_spikesorter	ndi.app.spikesorter
ndi_app_spikesorter_hengen	ndi.app.spikesorter.hengen
ndi_app_stimulus_decoder	ndi.app.stimulus.decoder
ndi_app_tuning_response	ndi.app.stimulus.tuning_response
ndi_appdoc	ndi.app.appdoc
ndi_daqmetadatareader	ndi.daq.metadatareader.metadatareader
ndi_daqmetadatareader_AngelucciStims	ndi.daq.metadatareader.AngelucciStims
ndi_daqmetadatareader_NewStimStims	ndi.daq.metadatareader.NewStimStims
ndi_daqsystemstring	ndi.daq.metadata.daqsystemstring
ndi_epochprobemap_daqsystem	ndi.daq.metadata.epochprobemap_daqsystem
ndi_epochprobemap_daqsystem_vhlab	ndi.daq.metadata.epochprobemap_daqsystem_vhlab
ndi_daqreader	ndi.daq.reader.base
ndi_daqsystem	ndi.daq.system.base
ndi_daqreader_mfdaq_blackrock	ndi.daq.reader.mfdaq.blackrock
ndi_daqreader_mfdaq_cedspike2	ndi.daq.reader.mfdaq.cedspike2
ndi_daqreader_mfdaq_intan	ndi.daq.reader.mfdaq.intan
ndi_daqreader_mfdaq_spikegadgets	ndi.daq.reader.mfdaq.spikegadgets
ndi_daqreader_mfdaq_stimulus_angelucci_visstim	ndi.daq.reader.mfdaq.stimulus.angelucci_visstim
ndi_daqreader_mfdaq_stimulus_vhlabvisspike2	ndi.daq.reader.mfdaq.stimulus.vhlabvisspike2
ndi_daqreader_mfdaq	ndi.daq.reader.mfdaq.mfdaq
ndi_daqsystem_mfdaq	ndi.daq.system.mfdaq.mfdaq
ndi_createGenBankControlledVocabulary	ndi.database.fun.createGenBankControlledVocabulary
ndi_createNIFbrainareas	ndi.database.fun.createNIFbrainareas
ndi_databasehierarchyinit	ndi.database.fun.databasehierarchyinit
ndi_docs2graph	ndi.database.fun.docs2graph
ndi_document2ndi_object	ndi.database.fun.document2ndi_object
ndi_findalldependencies	ndi.database.fun.findalldependencies
ndi_finddocs_missing_dependencies	ndi.database.fun.finddocs_missing_dependencies
ndi_opendatabase	ndi.database.fun.opendatabase
ndi_plotinteractivedocgraph	ndi.database.fun.plotinteractivedocgraph
ndi_projectvardef	ndi.database.fun.projectvardef
ndi_readGenBankNames	ndi.database.fun.readGenBankNames
ndi_readGenBankNodes	ndi.database.fun.readGenBankNodes
ndi_binarydoc_matfid	ndi.database.binarydoc.matfid
ndi_matlabdumbjsondb	ndi.database.matlabdumbjsondb
ndi_postgresdb	ndi.database.postgresdb
ndi_binarydoc	ndi.database.binarydoc
ndi_database	ndi.database
ndi_document	ndi.document
ndi_documentservice	ndi.documentservice
ndi_query	ndi.query
ndi_validate	ndi.validate
ndi_evaluate_fitcurve	ndi.data.evaluate_fitcurve
ndi_hengen_demo	ndi.demo.hengen
ndi_spikes_demo	ndi.demo.spikes
ndi_tutorial	ndi.demo.tutorial
ndi_tutorial_revised	ndi.demo.tutorial_revised
epochdemo1	ndi.demo.epochdemo1
ndi_getdaqsfromprobe	ndi.demo.session.getdaqsfromprobe
ndi_getsessioninfo	ndi.demo.session.getsessioninfo
syncgraph_example_figure	ndi.demo.syncgraph_example_figure
